mesh,trial,startup_seconds,app_ns_cpu_m,app_ns_mem_mi,app_ns_pods,control_ns_cpu_m,control_ns_mem_mi,control_ns_pods,node_cpu_m,node_mem_mi
linkerd,1,21,0,0,0,6,113,3,223,1496
linkerd,2,18,0,0,0,28,142,3,668,1792
linkerd,3,18,50,81,10,25,138,3,604,1576
linkerd,4,26,0,0,0,25,138,3,604,1576
linkerd,5,19,0,0,0,28,130,3,529,1285
