mesh,trial,startup_seconds,app_ns_cpu_m,app_ns_mem_mi,app_ns_pods,control_ns_cpu_m,control_ns_mem_mi,control_ns_pods,node_cpu_m,node_mem_mi
linkerd,1,8,0,0,0,8,118,3,271,1337
linkerd,2,26,0,0,0,8,118,3,271,1337
linkerd,3,18,0,0,0,8,118,3,271,1337
linkerd,4,28,0,0,0,32,120,3,726,1526
linkerd,5,17,0,0,0,32,120,3,726,1526
